class,schema,title,range,low,high,special,footnotes,arcrit,mcr,prob,wwg,nt,cbid
8789,VY15,HOUSING AND COMMUNITY DEVELOPMENT MANAGER I,,"$5,311.00","$6,598.00",,"['01', '19']",,1,12,E,,S01
9033,VY10,HOUSING AND COMMUNITY DEVELOPMENT MANAGER II,,"$5,830.00","$7,245.00",,"['01', '19']",,1,12,E,,S01
8788,VY05,HOUSING AND COMMUNITY DEVELOPMENT MANAGER III,,"$7,088.00","$8,048.00",,"['01', '19']",,1,12,E,,M01
9023,VY27,HOUSING AND COMMUNITY DEVELOPMENT REPRESENTATIVE I,A,"$3,247.00","$3,689.00",,"['01', '21']",['101'],1,12,2,,R01
9023,VY27,HOUSING AND COMMUNITY DEVELOPMENT REPRESENTATIVE I,B,"$3,350.00","$3,992.00",,"['01', '21']",['101'],1,12,2,,R01
9023,VY27,HOUSING AND COMMUNITY DEVELOPMENT REPRESENTATIVE I,C,"$4,016.00","$5,029.00",,"['01', '21']",['101'],1,12,2,,R01
8962,VY25,HOUSING AND COMMUNITY DEVELOPMENT REPRESENTATIVE II,,"$4,829.00","$6,048.00",,['19'],,1,6,2,,R01
9035,VY22,HOUSING AND COMMUNITY DEVELOPMENT SPECIALIST I,,"$5,053.00","$6,325.00",,"['01', '19']",,1,12,2,,R01
9037,VY20,HOUSING AND COMMUNITY DEVELOPMENT SPECIALIST II,,"$5,550.00","$6,947.00",,"['01', '19']",,1,12,2,,R01
4556,IT80,"HOUSING CONSTRUCTION INSPECTOR, CALIFORNIA HOUSING FINANCE AGENCY",,"$7,719.00","$9,663.00",,,,1,6,E,,R09
5254,KX46,HOUSING FINANCE ASSISTANT (CONSTRUCTION SERVICES),,"$3,824.00","$4,788.00",,['19'],,1,6,2,,R01
5227,KX42,HOUSING FINANCE ASSISTANT (GENERAL),,"$3,824.00","$4,788.00",,['19'],,1,6,2,,R01
5252,KX44,HOUSING FINANCE ASSISTANT (RENTAL),,"$3,824.00","$4,788.00",,['19'],,1,6,2,,R01
4821,KX38,HOUSING FINANCE ASSOCIATE (AFFIRMATIVE ACTION),,"$4,600.00","$5,758.00",,"['01', '19']",,1,12,2,,R01
5236,KX32,HOUSING FINANCE ASSOCIATE (CONSTRUCTION SERVICES),,"$4,600.00","$5,758.00",,"['01', '19']",,1,12,2,,R01
5255,KX30,HOUSING FINANCE ASSOCIATE (GENERAL),,"$4,600.00","$5,758.00",,"['01', '19']",,1,12,2,,R01
4835,KX40,HOUSING FINANCE ASSOCIATE (MANAGEMENT SERVICES),,"$4,600.00","$5,758.00",,"['01', '19']",,1,12,2,,R01
5163,KX36,HOUSING FINANCE ASSOCIATE (RENTAL),,"$4,600.00","$5,758.00",,['19'],,1,6,2,,R01
5162,KX34,HOUSING FINANCE ASSOCIATE (SINGLE FAMILY),,"$4,600.00","$5,758.00",,"['01', '19']",,1,12,2,,R01
5198,KX02,HOUSING FINANCE CHIEF (CONSTRUCTION SERVICES),,"$7,792.00","$8,849.00",,"['01', '19']",,1,12,E,,M01
5192,KX08,HOUSING FINANCE CHIEF (MANAGEMENT SERVICES),,"$7,792.00","$8,849.00",,"['01', '19']",,1,12,E,,M01
5249,KX04,HOUSING FINANCE CHIEF (RENTAL),,"$7,792.00","$8,849.00",,"['01', '19']",,1,12,E,,M01
5251,KX06,HOUSING FINANCE CHIEF (SINGLE FAMILY),,"$7,792.00","$8,849.00",,"['01', '19']",,1,12,E,,M01
4893,KX16,HOUSING FINANCE OFFICER (AFFIRMATIVE ACTION),,"$6,392.00","$7,959.00",,"['01', '19']",,1,12,E,,S01
5093,KX10,HOUSING FINANCE OFFICER (CONSTRUCTION SERVICES),,"$6,392.00","$7,959.00",,"['01', '19']",,1,12,E,,S01
4834,KX13,HOUSING FINANCE OFFICER (MANAGEMENT SERVICES),,"$6,392.00","$7,959.00",,"['01', '19']",,1,12,E,,S01
5451,KX12,HOUSING FINANCE OFFICER (RENTAL),,"$6,392.00","$7,959.00",,"['01', '19']",,1,12,E,,S01
5247,KX14,HOUSING FINANCE OFFICER (SINGLE FAMILY),,"$6,392.00","$7,959.00",,"['01', '19']",,1,12,E,,S01
5240,KX26,HOUSING FINANCE SPECIALIST (AFFIRMATIVE ACTION),,"$5,053.00","$6,325.00",,"['01', '19']",,1,12,2,,R01
5235,KX20,HOUSING FINANCE SPECIALIST (GENERAL),,"$5,053.00","$6,325.00",,"['01', '19']",,1,12,2,,R01
5452,KX28,HOUSING FINANCE SPECIALIST (MANAGEMENT SERVICES),,"$5,053.00","$6,325.00",,"['01', '19']",,1,12,2,,R01
5141,KX24,HOUSING FINANCE SPECIALIST (RENTAL),,"$5,053.00","$6,325.00",,"['01', '19']",,1,12,2,,R01
5143,KX22,HOUSING FINANCE SPECIALIST (SINGLE FAMILY),,"$5,053.00","$6,325.00",,"['01', '19']",,1,12,2,,R01
5225,KX50,HOUSING FINANCE TRAINEE (GENERAL),A,"$2,945.00","$3,690.00",,"['19', '21']",,1,6,2,,R01
5225,KX50,HOUSING FINANCE TRAINEE (GENERAL),B,"$3,189.00","$3,992.00",,"['19', '21']",,1,6,2,,R01
4913,IT70,"HOUSING MAINTENANCE INSPECTOR, CALIFORNIA HOUSING FINANCE AGENCY",,"$7,126.00","$8,914.00",,"['01', '19']",,1,12,2,,R09
6451,PL20,HYDROELECTRIC PLANT ELECTRICAL SUPERVISOR,,"$7,499.00","$10,039.00",,"['01', '19']",,1,12,2,,S12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,A,"$3,521.00","$3,521.00",,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,A,$20.31,$20.31,HR,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,B,"$3,681.00","$3,681.00",,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,B,$21.24,$21.24,HR,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,C,"$3,841.00","$3,841.00",,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,C,$22.16,$22.16,HR,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,D,"$4,161.00","$4,161.00",,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,D,$24.01,$24.01,HR,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,E,"$4,481.00","$4,481.00",,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,E,$25.85,$25.85,HR,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,F,"$4,801.00","$4,801.00",,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,F,$27.70,$27.70,HR,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,G,"$5,121.00","$5,121.00",,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,G,$29.54,$29.54,HR,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,H,"$5,761.00","$5,761.00",,,,1,6,2,,R12
6457,PL65,HYDROELECTRIC PLANT ELECTRICIAN APPRENTICE,H,$33.24,$33.24,HR,,,1,6,2,,R12
6455,PL60,HYDROELECTRIC PLANT ELECTRICIAN I,,"$6,401.00","$7,935.00",,,,1,6,2,,R12
6453,PL40,HYDROELECTRIC PLANT ELECTRICIAN II,,"$7,037.00","$8,724.00",,,,1,6,2,,R12
6450,PL10,HYDROELECTRIC PLANT MAINTENANCE SUPERINTENDENT,,"$8,242.00","$11,039.00",,"['01', '19']",,1,12,E,,S12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,A,"$3,521.00","$3,521.00",,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,A,$20.31,$20.31,HR,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,B,"$3,681.00","$3,681.00",,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,B,$21.24,$21.24,HR,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,C,"$3,841.00","$3,841.00",,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,C,$22.16,$22.16,HR,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,D,"$4,161.00","$4,161.00",,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,D,$24.01,$24.01,HR,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,E,"$4,481.00","$4,481.00",,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,E,$25.85,$25.85,HR,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,F,"$4,801.00","$4,801.00",,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,F,$27.70,$27.70,HR,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,G,"$5,121.00","$5,121.00",,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,G,$29.54,$29.54,HR,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,H,"$5,761.00","$5,761.00",,,,1,6,2,,R12
6458,PL75,HYDROELECTRIC PLANT MECHANIC APPRENTICE,H,$33.24,$33.24,HR,,,1,6,2,,R12
6456,PL70,HYDROELECTRIC PLANT MECHANIC I,,"$6,401.00","$7,935.00",,,,1,6,2,,R12
6454,PL50,HYDROELECTRIC PLANT MECHANIC II,,"$7,037.00","$8,724.00",,,,1,6,2,,R12
6452,PL30,HYDROELECTRIC PLANT MECHANICAL SUPERVISOR,,"$7,499.00","$10,039.00",,"['01', '19']",,1,12,2,,S12
6460,PL80,HYDROELECTRIC PLANT OPERATIONS SUPERINTENDENT,,"$8,242.00","$11,039.00",,"['01', '19']",,1,12,E,,S12
6463,PM20,HYDROELECTRIC PLANT OPERATOR,A,"$6,401.00","$7,935.00",,,,1,6,2,,R12
6463,PM20,HYDROELECTRIC PLANT OPERATOR,B,"$6,696.00","$8,307.00",,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,A,"$3,521.00","$3,521.00",,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,A,$20.31,$20.31,HR,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,B,"$3,681.00","$3,681.00",,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,B,$21.24,$21.24,HR,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,C,"$3,841.00","$3,841.00",,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,C,$22.16,$22.16,HR,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,D,"$4,161.00","$4,161.00",,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,D,$24.01,$24.01,HR,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,E,"$4,801.00","$4,801.00",,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,E,$27.70,$27.70,HR,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,F,"$5,441.00","$5,441.00",,,,1,6,2,,R12
6469,PM35,HYDROELECTRIC PLANT OPERATOR APPRENTICE,F,$31.39,$31.39,HR,,,1,6,2,,R12
3728,HQ90,HYDROELECTRIC PLANT TECHNICIAN I,A,"$5,168.00","$6,525.00",,"['01', '21']",['478'],1,12,2,,R12
3728,HQ90,HYDROELECTRIC PLANT TECHNICIAN I,B,"$6,269.00","$7,934.00",,"['01', '21']",['478'],1,12,2,,R12
3729,HQ91,HYDROELECTRIC PLANT TECHNICIAN II,,"$6,885.00","$8,724.00",,,,1,6,2,,R12
3730,HQ92,HYDROELECTRIC PLANT TECHNICIAN III,,"$7,577.00","$9,599.00",,['19'],,1,6,2,,R12
3731,HQ93,HYDROELECTRIC PLANT TECHNICIAN SUPERVISOR,,"$8,242.00","$11,039.00",,['01'],,1,12,2,,S12
9890,XQ90,INDIVIDUAL PROGRAM COORDINATOR,,"$3,195.00","$4,194.00",,"['01', '19']",,1,12,2,,R19
9897,QX91,INDIVIDUAL PROGRAM COORDINATOR (SAFETY),,"$3,195.00","$4,194.00",,"['01', '19', 'R1']",,1,12,2,,R19
2523,EO80,INDUSTRIAL AND TECHNOLOGY EDUCATION ADMINISTRATOR I,,"$6,650.00","$8,328.00",,"['01', '19']",,1,12,E,,S21
2524,EO90,INDUSTRIAL AND TECHNOLOGY EDUCATION CONSULTANT,A,"$5,984.00","$7,489.00",,"['01', '19']",['047'],1,12,E,,R21
2524,EO90,INDUSTRIAL AND TECHNOLOGY EDUCATION CONSULTANT,F,"$4,986.67","$6,240.83",,"['01', '19']",['047'],1,12,E,,R21
5978,OI30,INDUSTRIAL RELATIONS COUNSEL I,,"$5,895.00","$7,414.00",,"['19', '01']",,1,12,SE,,R02
5977,OI20,INDUSTRIAL RELATIONS COUNSEL II,,"$6,636.00","$8,512.00",,"['19', '01']",,1,12,SE,,R02
6180,OI15,INDUSTRIAL RELATIONS COUNSEL III (SPECIALIST),,"$8,032.00","$10,305.00",,"['19', '01']",,1,12,SE,,R02
6181,OI05,INDUSTRIAL RELATIONS COUNSEL III (SUPERVISOR),,"$8,036.00","$10,213.00",,"['01', '19']",,1,12,SE,,S02
5981,OI10,INDUSTRIAL RELATIONS COUNSEL IV,,"$8,872.00","$11,392.00",,"['01', '19']",,1,12,SE,,R02
9483,WO45,INDUSTRIAL RELATIONS REPRESENTATIVE,A,"$3,247.00","$3,689.00",,"['01', '21']",['020'],1,12,2,,R01
9483,WO45,INDUSTRIAL RELATIONS REPRESENTATIVE,B,"$3,350.00","$3,992.00",,"['01', '21']",['020'],1,12,2,,R01
9483,WO45,INDUSTRIAL RELATIONS REPRESENTATIVE,C,"$4,016.00","$5,029.00",,"['01', '21']",['020'],1,12,2,,R01
7284,RD81,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (BAKERY)",,"$4,042.00","$5,111.00",,['19'],,1,6,2,,R12
7218,RE90,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (BINDERY)",,"$4,042.00","$5,111.00",,"['19', 'R0']",,1,6,2,,R12
7123,RB71,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (COFFEE ROASTING AND GRINDING)",,"$4,042.00","$5,111.00",,['19'],,1,6,2,,R12
0648,BK20,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (CROP FARM)",,"$4,042.00","$5,111.00",,"['19', 'R0']",,1,6,2,,R12
0682,BK15,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (DAIRY)",,"$4,042.00","$5,111.00",,"['19', 'R0']",,1,6,2,,R12
7204,RE62,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (DENTAL LABORATORY)",,"$4,042.00","$5,111.00",,['19'],,1,6,2,,R12
7151,RB75,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (DETERGENT PLANT)",,"$4,042.00","$5,111.00",,['19'],,1,6,2,,R12
7193,RB81,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (DIGITAL SERVICES)",,"$4,042.00","$5,111.00",,['19'],,1,6,2,,R12
7129,RB72,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (EGG PRODUCTION)",,"$4,042.00","$5,111.00",,['19'],,1,6,2,,R12
7198,RD50,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (FABRIC PRODUCTS)",,"$4,042.00","$5,111.00",,['R0'],,1,6,2,,R12
7155,RC96,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (FOOD AND BEVERAGE",,"$4,042.00","$5,111.00",,['19'],,1,6,2,,R12
7210,RE40,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (KNITTING MILL)",,"$4,042.00","$5,111.00",,"['19', 'R0']",,1,6,2,,R12
2109,RE95,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (LAUNDRY)",,"$4,042.00","$5,111.00",,"['19', 'R0']",,1,6,2,,R12
7215,RE70,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (MAINTENANCE + REPAIR)",,"$4,436.00","$5,615.00",,"['19', 'R0']",,1,6,2,,R12
7197,RD40,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (MATTRESS + BEDDING)",,"$4,042.00","$5,111.00",,"['19', 'R0']",,1,6,2,,R12
7130,RB73,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (MEATCUTTING/PROCESSING)",,"$4,042.00","$5,111.00",,['19'],,1,6,2,,R12
7191,RC80,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (METAL FABRICATION)",,"$4,042.00","$5,111.00",,"['19', 'R0']",,1,6,2,,R12
7150,RD68,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (OPTICAL PRODUCTS)",,"$4,042.00","$5,111.00",,['19'],,1,6,2,,R12
7131,RB69,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (POULTRY PROCESSING)",,"$4,042.00","$5,111.00",,"['19', 'R0']",,1,6,2,,R12
7216,RE80,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (PRINTING)",,"$4,042.00","$5,111.00",,"['19', 'R0']",,1,6,2,,R12
7105,RB77,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (SAUSAGE MAKING/CURED MEATS)",,"$4,042.00","$5,111.00",,['19'],,1,6,2,,R12
7152,RD55,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (SEWING MACHINE REPAIR)",,"$4,436.00","$5,615.00",,['19'],,1,6,2,,R12
7207,RE20,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (SHOE MANUFACTURING)",,"$4,042.00","$5,111.00",,"['19', 'R0']",,1,6,2,,R12
7192,RC90,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (TOOL + DIE)",,"$4,436.00","$5,615.00",,"['19', 'R0']",,1,6,2,,R12
7179,RC30,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (UPHOLSTERY)",,"$4,042.00","$5,111.00",,['R0'],,1,6,2,,R12
7178,RC20,"INDUSTRIAL SUPERVISOR, PRISON INDUSTRIES (WOOD PRODUCTS)",,"$4,042.00","$5,111.00",,"['19', 'R0']",,1,6,2,,R12
8320,TR25,INDUSTRIAL THERAPIST (SAFETY),,"$3,278.00","$4,287.00",,['R1'],,1,6,2,,R19
7236,RF16,"INDUSTRIAL WAREHOUSE AND DISTRIBUTION MANAGER I, PRISON INDUSTRIES",,"$4,504.00","$5,590.00",,"['01', '19']",,1,12,2,,S12
7237,RF17,"INDUSTRIAL WAREHOUSE AND DISTRIBUTION MANAGER II, PRISON INDUSTRIES",,"$4,944.00","$6,136.00",,"['01', '19']",,1,12,E,,S12
7231,RF19,"INDUSTRIAL WAREHOUSE AND DISTRIBUTION SPECIALIST, PRISON INDUSTRIES",,"$3,602.00","$4,543.00",,"['01', '19', 'R1']",,1,12,2,,R12
7234,RF18,"INDUSTRIAL WAREHOUSE AND DISTRIBUTION SUPERVISOR, PRISON INDUSTRIES",,"$4,004.00","$4,968.00",,"['01', '19']",,1,12,2,,S12
8201,TJ95,INFECTION CONTROL SPECIALIST,,"$6,067.00","$7,877.00",,['19'],,1,6,2,,R17
5601,LZ17,INFORMATION OFFICER I (SPECIALIST),A,"$4,600.00","$5,758.00",,['19'],,1,6,2,,R01
5601,LZ17,INFORMATION OFFICER I (SPECIALIST),L,"$4,600.00","$5,758.00",,['19'],,1,6,2,,R01
5595,LZ10,INFORMATION OFFICER II,,"$5,553.00","$6,901.00",,"['01', '19']",,1,12,E,,S01
5597,LZ05,INFORMATION OFFICER III C.E.A.,,"$7,433.00","$8,440.00",,,,1,6,E,,M01
9448,ZZ38,INFORMATION SYSTEMS MANAGER,,"$7,442.00","$8,872.00",,"['01', '50']",,1,12,E,,E99
9444,ZZ30,INFORMATION SYSTEMS SUPERVISOR I,,"$3,883.00","$5,047.00",,"['01', '50']",,1,12,2,,E98
9445,ZZ32,INFORMATION SYSTEMS SUPERVISOR II,,"$4,666.00","$6,085.00",,"['01', '50']",,1,12,2,,E98
9446,ZZ34,INFORMATION SYSTEMS SUPERVISOR III,,"$5,605.00","$7,313.00",,"['01', '50']",,1,12,E,,E98
9447,ZZ36,INFORMATION SYSTEMS SUPERVISOR IV,,"$6,154.00","$8,029.00",,"['01', '50']",,1,12,E,,E98
1360,LN48,INFORMATION SYSTEMS TECHNICIAN,A,"$2,593.00","$3,090.00",,"['01', '29', '21']","['280', '285']",1,12,2,,R01
1360,LN48,INFORMATION SYSTEMS TECHNICIAN,B,"$2,697.00","$3,547.00",,"['01', '29', '21']","['280', '285']",1,12,2,,R01
1360,LN48,INFORMATION SYSTEMS TECHNICIAN,C,"$3,062.00","$4,024.00",,"['01', '29', '21']","['280', '285']",1,12,2,,R01
1360,LN48,INFORMATION SYSTEMS TECHNICIAN,L,"$2,593.00","$3,090.00",,"['01', '29', '21']","['280', '285']",1,12,2,,R01
1360,LN48,INFORMATION SYSTEMS TECHNICIAN,M,"$2,697.00","$3,547.00",,"['01', '29', '21']","['280', '285']",1,12,2,,R01
1360,LN48,INFORMATION SYSTEMS TECHNICIAN,N,"$3,062.00","$4,024.00",,"['01', '29', '21']","['280', '285']",1,12,2,,R01
1562,LN45,INFORMATION SYSTEMS TECHNICIAN SPECIALIST I,,"$3,654.00","$4,803.00",,['29'],,1,6,2,,R01
1557,LN43,INFORMATION SYSTEMS TECHNICIAN SPECIALIST II,,"$4,390.00","$5,772.00",,['19'],,1,6,2,,R01
1408,LN44,INFORMATION SYSTEMS TECHNICIAN SUPERVISOR I,,"$3,880.00","$5,042.00",,"['01', '43']",,1,12,2,,S01
1407,LN42,INFORMATION SYSTEMS TECHNICIAN SUPERVISOR II,,"$4,663.00","$6,081.00",,"['01', '19']",,1,12,2,,S01
9452,ZZ46,INFORMATION TECHNICIAN I,A,"$2,595.00","$3,096.00",,"['01', '45', '50', '21']",['LDC'],1,12,2,,E97
9452,ZZ46,INFORMATION TECHNICIAN I,B,"$2,698.00","$3,548.00",,"['01', '45', '50', '21']",['LDC'],1,12,2,,E97
9452,ZZ46,INFORMATION TECHNICIAN I,C,"$3,064.00","$4,028.00",,"['01', '45', '50', '21']",['LDC'],1,12,2,,E97
9453,ZZ48,INFORMATION TECHNICIAN II,A,"$3,656.00","$4,806.00",,"['01', '45', '50', '21']",['LDC'],1,12,2,,E97
9453,ZZ48,INFORMATION TECHNICIAN II,B,"$4,392.00","$5,774.00",,"['01', '45', '50', '21']",['LDC'],1,12,2,,E97
9449,ZZ40,INFORMATION TECHNOLOGY SPECIALIST I,A,"$3,249.00","$3,876.00",,"['01', '45', '50', '21']",['LDC'],1,12,2,,E97
9449,ZZ40,INFORMATION TECHNOLOGY SPECIALIST I,B,"$3,353.00","$4,195.00",,"['01', '45', '50', '21']",['LDC'],1,12,2,,E97
9449,ZZ40,INFORMATION TECHNOLOGY SPECIALIST I,C,"$4,020.00","$5,284.00",,"['01', '45', '50', '21']",['LDC'],1,12,2,,E97
9449,ZZ40,INFORMATION TECHNOLOGY SPECIALIST I,D,"$4,832.00","$6,354.00",,"['01', '45', '50', '21']",['LDC'],1,12,2,,E97
9449,ZZ40,INFORMATION TECHNOLOGY SPECIALIST I,E,"$5,297.00","$6,965.00",,"['01', '45', '50', '21']",['LDC'],1,12,2,,E97
9450,ZZ42,INFORMATION TECHNOLOGY SPECIALIST II,,"$5,818.00","$7,650.00",,"['01', '50']",,1,12,E,,E97
9451,ZZ44,INFORMATION TECHNOLOGY SPECIALIST III,,"$6,392.00","$8,404.00",,"['01', '50']",,1,12,E,,E97
4488,JK62,INHERITANCE AND GIFT TAX EXAMINER III,,"$4,829.00","$6,350.00",,['19'],,1,6,2,,R01
0537,BF60,INSECT BIOSYSTEMATIST,A,"$3,850.00","$4,777.00",,,,1,6,2,,R10
0537,BF60,INSECT BIOSYSTEMATIST,B,"$4,040.00","$5,011.00",,,,1,6,2,,R10
0537,BF60,INSECT BIOSYSTEMATIST,C,"$4,226.00","$5,249.00",,,,1,6,2,,R10
8876,SY30,INSPECTOR BOARD OF PHARMACY,,"$6,120.00","$8,030.00",,['19'],,1,6,E,,R19
8834,VW10,INSPECTOR I DEPARTMENT OF CONSUMER AFFAIRS,,"$2,963.00","$3,633.00",,"['34', 'R1']",,1,6,2,,R07
8833,VV90,INSPECTOR II DEPARTMENT OF CONSUMER AFFAIRS,,"$3,366.00","$4,172.00",,"['34', 'R1']",,1,6,2,,R07
8832,VV85,"INSPECTOR III, DEPARTMENT OF CONSUMER AFFAIRS",,"$3,934.00","$4,873.00",,"['01', '34', '43']",,1,12,E,,S07
6892,QN20,INSPECTOR OF AUTOMOTIVE EQUIPMENT,,"$4,132.00","$5,231.00",,['19'],,1,6,2,,R12
8829,VW15,"INSPECTOR, DEPARTMENT OF MOTOR VEHICLES",A,"$3,186.00","$3,906.00",,"['01', '19', '21', 'R1']",['265'],1,12,2,,R07
8829,VW15,"INSPECTOR, DEPARTMENT OF MOTOR VEHICLES",B,"$3,618.00","$4,485.00",,"['01', '19', '21', 'R1']",['265'],1,12,2,,R07
5658,FK46,INSTITUTION ARTIST/FACILITATOR,,"$3,908.00","$4,893.00",,"['01', '19', 'P8']",,1,12,2,,R01
8981,VZ40,INSTITUTION FIREFIGHTER -PART TIME-,,$11.93,$12.29,HR,['34'],,1,0,2,NT,E
5137,KE30,INSTITUTIONAL PERSONNEL OFFICER I,,"$3,973.00","$4,977.00",,"['01', '19']",,1,12,2,,S01
5138,KE28,INSTITUTIONAL PERSONNEL OFFICER II,,"$4,832.00","$6,004.00",,"['01', '19']",,1,12,2,,S01
2947,LC65,"INSTRUCTIONAL DESIGNER (TECHNOLOGY), COMMISSION ON PEACE OFFICER STANDARDS AND TRAINING",,"$5,053.00","$6,325.00",,"['01', '19']",,1,12,E,,R01
2949,LM26,"INSTRUCTIONAL SYSTEMS ENGINEER, COMMISSION ON PEACE OFFICER STANDARDS AND TRAINING",,"$4,829.00","$6,350.00",,"['01', '19']",,1,12,E,,R01
2840,EJ50,"INSTRUCTOR, MILITARY DEPARTMENT",1,"$3,666.67","$4,816.17",,"['19', '21']",,1,6,SE,,R03
2840,EJ50,"INSTRUCTOR, MILITARY DEPARTMENT",2,"$3,834.42","$5,038.92",,"['19', '21']",,1,6,SE,,R03
2840,EJ50,"INSTRUCTOR, MILITARY DEPARTMENT",3,"$4,018.67","$5,278.17",,"['19', '21']",,1,6,SE,,R03
2840,EJ50,"INSTRUCTOR, MILITARY DEPARTMENT",4,"$4,207.50","$5,530.25",,"['19', '21']",,1,6,SE,,R03
